Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,value11_12,value12_13,description,source_name,source_url,,,,,,,,,,,
"Education, Employment & Workplace Relations",Early Childhood learning & Care,Support for the Child Care System,Child Care Services Support,,"326,526","345,312",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Early Childhood learning & Care,Support for the Child Care System,Jobs Education and Training Child Care Fee Assistance  (JETCCFA),,"88,075","81,919",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Early Childhood learning & Care,Child Care Fee Assistance,Child Care Benefit,,"2,342,852","2,444,197",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Early Childhood learning & Care,Child Care Fee Assistance,Child Care Rebate,,"1,835,663","1,993,141",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Early Childhood learning & Care,Early Childhood Education,Early Childhood Education - Universal Access,,"3,000","3,000",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Non-Government Schools National Support,Schools Assistance Act 2008,,"7,587,740","8,183,019",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Non-Government Schools National Support,ndigenous Education (Targeted Assistance) Act,,"150,941","130,047",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Teach Next,,"4,300","5,224",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,National Trade Cadetship,,0,"3,100",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
"Education, Employment & Workplace Relations",Teaching & Learning for school students,Schools Support,Online Diagnostic Tools,,"14,894","10,238",,DEEWR Portfolio Budget Statement ,http://www.deewr.gov.au/Department/Budget/Documents/201213/2012-2013_DEEWR_PBS_01_Portfolio_Overview.pdf,,,,,,,,,,,
